ID,V2,V5,V6,DrivingStyle
DR_68708,1686,18778,5,1
DR_72801,1076,16384,3,3
DR_31268,1723,35356,6,3
DR_65047,569,2051,2,1
DR_71760,1708,23182,6,1
DR_64014,594,1266,2,3
DR_63945,1750,13170,5,1
DR_21960,1713,35150,6,1
DR_67842,1742,23485,6,1
DR_34432,589,2567,2,2
DR_49816,1753,22351,6,1
DR_31232,1968,40224,7,1
DR_41220,527,2168,2,3
DR_20853,1986,32440,5,1
DR_5515,1687,35694,6,3
DR_4839,1047,15636,3,1
DR_7175,1366,12097,5,1
DR_29228,600,2511,2,1
DR_34688,2008,15845,5,1
DR_11048,1732,21280,6,1
DR_32553,1682,10647,6,1
DR_23992,2022,14240,6,1
DR_27673,542,2580,2,2
DR_28383,471,1445,2,1
DR_33289,1992,29270,6,1
DR_56584,1044,9840,2,1
DR_51894,562,1877,2,2
DR_33440,699,3403,2,1
DR_50786,927,4761,2,2
DR_73330,890,3026,4,1
DR_70285,1517,10455,3,1
DR_28724,868,3689,4,1
DR_61572,1678,14626,5,1
DR_44400,968,5076,2,3
DR_18860,650,1487,2,3
DR_35028,1570,15988,4,2
DR_47327,586,1777,2,3
DR_21507,1715,30851,6,1
DR_26371,1763,23190,6,2
DR_54050,638,2968,2,2
DR_38442,605,3216,2,2
DR_74344,537,2088,2,2
DR_50192,1676,35600,6,2
DR_53213,1697,38659,6,2
DR_25269,1717,16040,4,2
DR_11502,1714,27987,6,2
DR_20511,1707,13985,5,1
DR_41011,808,7629,2,2
DR_28652,521,2329,2,2
DR_17315,910,6491,2,2
DR_15338,1223,3155,4,2
DR_61281,1718,30864,5,2
DR_38368,571,2313,2,2
DR_16872,657,3282,2,2
DR_69686,836,3824,3,2
DR_4427,582,2322,2,1
DR_73837,975,4128,4,2
DR_64453,652,1695,2,3
DR_24116,1688,38017,6,2
DR_44459,584,1599,2,2
DR_40916,615,3085,2,3
DR_41672,795,3601,3,3
DR_12810,1334,4882,4,3
DR_55491,948,19007,3,3
DR_69502,1612,17692,6,3
DR_58996,1681,18101,5,3
DR_48659,1694,31940,6,3
DR_28585,1722,29337,6,3
DR_19498,1699,28064,5,3
DR_31982,545,1627,2,3
DR_37922,1707,30488,6,3
DR_40472,1752,17391,6,1
DR_19522,1664,38172,6,2
DR_61560,1726,26016,6,1
DR_22138,1732,32321,6,1
DR_10228,1959,18502,5,3
DR_57326,1709,19561,4,2
DR_35466,1707,29052,6,3
DR_4565,2012,20808,5,1
DR_52023,1726,27668,5,3
DR_49606,1996,18375,5,1
DR_20117,623,2344,2,3
DR_23831,684,1090,2,2
DR_62433,583,1988,2,1
DR_49715,574,2103,2,1
DR_36894,512,2804,2,1
DR_32302,531,2513,2,1
DR_14518,622,2632,2,3
DR_23494,1647,15246,3,3
DR_26181,655,2297,2,3
DR_28739,1707,20505,6,3
DR_16526,629,2110,2,3
DR_68835,1768,20957,6,1
DR_27624,1675,15182,5,2
DR_32626,1765,21431,4,1
DR_41613,600,1823,2,2
DR_27685,604,2921,2,1
DR_65230,525,1521,2,2
DR_40191,1745,28065,6,2
DR_28193,1068,4943,3,2
DR_49682,1727,17668,5,2
DR_15667,1717,22686,5,1
DR_38435,1741,22025,6,3
DR_52503,651,2031,2,2
DR_25433,1013,7337,2,2
DR_69630,1680,32668,5,2
DR_4838,1657,14864,5,2
DR_25850,990,2700,4,2
DR_54080,581,2281,2,2
DR_57121,547,1277,2,2
DR_10824,602,2698,2,3
DR_53997,613,2273,2,3
DR_57913,580,2029,2,3
DR_21998,1689,28631,5,2
DR_19789,549,2074,2,3
DR_49636,676,3422,2,1
DR_74294,1716,25537,6,1
DR_39183,886,3015,3,3
DR_25590,1819,18631,5,3
DR_25409,556,1959,2,3
DR_53970,1706,26238,6,2
DR_4733,1708,17988,5,2
DR_27715,1691,32854,6,1
DR_69213,1711,11715,5,1
DR_44787,1719,12495,5,1
DR_36559,572,2611,2,2
DR_43738,1820,18135,6,3
DR_73596,1685,25334,6,2
DR_33798,1799,7580,5,2
DR_57369,516,1869,2,3
DR_52882,1742,21861,6,2
DR_39293,557,1655,2,1
DR_18602,1700,14652,5,3
DR_6469,2029,10141,4,2
DR_54029,500,2523,2,2
DR_11408,547,2256,2,3
DR_16034,1722,25286,5,2
DR_11465,1375,11888,5,1
DR_42395,608,2499,2,2
DR_24436,865,767,3,2
DR_44879,1698,26698,5,1
DR_10789,1703,32360,6,1
DR_62823,743,1380,2,1
DR_52322,1441,10874,6,2
DR_40479,1668,16508,6,3
DR_22479,1696,13199,4,1
DR_71576,1778,9564,3,3
DR_42576,546,1769,2,1
DR_64479,1825,11833,4,1
DR_4324,500,2023,2,3
DR_30286,547,2706,2,2
DR_74045,562,1786,2,3
DR_19049,585,1950,2,1
DR_54586,1676,15620,5,3
DR_57622,584,2129,2,3
DR_16648,1733,23221,6,1
DR_35729,619,1275,2,3
DR_29043,1644,34322,6,2
DR_42349,1008,4631,4,1
DR_62278,1652,14276,5,2
DR_40196,647,3054,2,2
DR_10152,1731,12863,5,1
DR_70278,1733,20111,6,2
DR_47377,1707,13256,6,2
DR_5092,534,2031,2,2
DR_62226,1706,33711,6,1
DR_68033,510,1745,2,2
DR_21862,612,2487,2,2
DR_29813,568,1082,2,2
DR_68178,523,1830,2,1
DR_34105,595,2751,2,2
DR_15611,668,2931,2,2
DR_21261,540,1933,2,3
DR_50671,595,2087,2,3
DR_59765,888,4127,2,1
DR_42803,545,1918,2,1
DR_35393,540,1851,2,3
DR_20651,775,2367,2,2
DR_39704,529,2033,2,3
DR_58632,564,2237,2,3
DR_67006,544,1822,2,2
DR_55729,600,1902,2,3
DR_36091,545,2358,2,3
DR_50768,590,1663,2,3
DR_67338,627,3362,2,3
DR_51348,482,1410,2,3
DR_38149,599,1996,2,2
DR_60084,1719,34424,6,1
DR_68310,1700,26921,5,1
DR_24664,615,3667,2,2
DR_14525,1989,18307,5,1
DR_65500,565,1795,2,2
DR_47990,749,1354,2,2
DR_45324,528,1678,2,3
DR_36712,1685,19237,6,3
DR_5001,1757,31507,6,2
DR_60836,1633,23728,5,3
DR_37375,525,1358,2,2
DR_42196,2017,20036,6,1
DR_15669,1826,21872,5,2
DR_60361,833,6891,2,2
DR_28321,2048,19465,5,1
DR_45007,1695,20665,6,2
DR_45078,1761,20540,6,1
DR_15358,1675,25620,6,1
DR_72860,1982,15272,6,1
DR_7046,468,504,2,1
DR_10749,2005,10808,6,1
DR_54661,708,3216,2,3
DR_61399,554,1744,2,3
DR_39581,1506,11325,3,1
DR_21865,450,1348,2,1
DR_64874,1724,21640,6,1
DR_15262,587,2120,2,1
DR_63447,661,2080,2,3
DR_4905,586,2704,2,3
DR_26323,598,1711,2,3
DR_6436,604,2162,2,3
DR_48224,860,3862,2,3
DR_67195,607,2350,2,2
DR_25004,1657,7328,4,2
DR_66097,765,3073,2,2
DR_60678,592,2343,2,2
DR_71630,532,2044,2,2
DR_11228,636,2367,2,2
DR_62954,550,1998,2,2
DR_54695,513,2136,2,2
DR_18366,515,1510,2,2
DR_43010,546,1940,2,2
DR_6550,719,2510,2,2
DR_67148,547,1625,2,2
DR_59428,517,1957,2,2
DR_5211,552,2097,2,2
DR_32034,477,1509,2,2
DR_71457,526,1079,2,3
DR_40292,724,2730,2,1
DR_37520,526,1325,2,1
DR_56256,507,1332,2,2
DR_40223,525,2138,2,3
DR_72364,515,2080,2,1
DR_19457,554,1522,2,2
DR_63126,526,1141,2,2
DR_73356,526,2124,2,3
DR_56374,551,1809,2,2
DR_43076,553,1339,2,1
DR_60603,514,1930,2,2
DR_70653,494,1389,2,2
DR_67260,481,1312,2,2
DR_13064,525,2199,2,1
DR_55593,549,1678,2,2
DR_63366,557,1776,2,3
DR_52490,532,1727,2,2
DR_54781,550,1302,2,2
DR_41273,532,1528,2,2
DR_5903,526,1489,2,2
DR_41646,512,1400,2,2
DR_42396,525,1482,2,2
DR_65299,535,795,2,1
DR_24484,522,1499,2,2
DR_16379,499,946,2,2
DR_26660,561,1403,2,1
DR_32145,567,1136,2,2
DR_66912,529,581,2,1
DR_23829,521,492,2,2
DR_65518,565,1795,2,2
DR_71770,536,1302,2,1
DR_72359,1061,2749,4,3
DR_66898,555,1251,2,1
DR_30327,1676,18124,6,1
DR_32495,1419,4612,6,2
DR_72871,2061,14244,5,1
DR_67719,917,5978,2,2
DR_61938,2043,20757,6,1
DR_15006,1302,2358,4,1
DR_34013,1719,18877,6,3
DR_34077,1875,12257,6,3
DR_61336,451,968,2,2
DR_71010,504,1307,2,2
DR_39255,536,1403,2,1
DR_67171,693,2575,2,1
DR_64590,509,2014,2,3
DR_50416,955,9054,3,2
DR_6501,485,817,2,1
DR_69647,776,577,3,2
DR_42619,1342,1054,4,2
DR_53585,490,1291,2,2
DR_19320,896,648,2,2
DR_39450,922,13110,4,3
DR_63953,521,1678,2,3
DR_16213,557,2203,2,1
DR_58940,899,19977,4,2
DR_60479,509,1743,2,1
DR_21617,575,2012,2,2
DR_4456,537,1804,2,2
DR_14509,579,2258,2,2
DR_43469,509,2029,2,1
DR_55502,550,1632,2,2
DR_36490,576,2384,2,2
DR_64618,544,1699,2,2
DR_61783,514,2121,2,2
DR_16844,543,1966,2,2
DR_20614,556,1463,2,2
DR_26817,575,2303,2,2
DR_67227,547,2567,2,2
DR_74670,556,1693,2,2
DR_51436,567,1364,2,2
DR_55005,538,2012,2,2
DR_39380,555,2224,2,2
DR_6113,545,2387,2,3
DR_54132,541,1778,2,2
DR_47308,535,2711,2,3
DR_46476,546,1656,2,3
DR_43589,568,1869,2,1
DR_13302,548,1937,2,3
DR_61004,560,2142,2,3
DR_47313,555,1544,2,3
DR_57658,512,1659,2,2
DR_44004,537,2084,2,1
DR_4560,579,1754,2,2
DR_63102,586,1837,2,3
DR_66467,564,1585,2,3
DR_31110,588,2596,2,1
DR_59412,561,2344,2,3
DR_63861,579,1974,2,2
DR_18593,549,1841,2,2
DR_30004,565,2431,2,3
DR_12602,585,1891,2,2
DR_15790,542,1466,2,3
DR_4338,572,1618,2,3
DR_30237,542,1860,2,3
DR_7118,564,1621,2,3
DR_13101,579,1797,2,1
DR_29005,567,1574,2,1
DR_13950,566,2082,2,1
DR_52408,511,1065,2,2
DR_64246,556,928,2,1
DR_24095,604,2248,2,2
DR_45540,550,1444,2,2
DR_40966,506,1435,2,2
DR_13193,566,1803,2,3
DR_16445,1494,14456,3,1
DR_18483,593,1541,2,1
DR_43483,525,1526,2,2
DR_65501,604,2481,2,2
DR_10088,581,2102,2,1
DR_33296,417,891,2,3
DR_45270,620,2891,2,1
DR_42829,899,6769,3,3
DR_55868,1704,19721,6,1
DR_54459,495,1357,2,2
DR_61205,1403,11039,3,1
DR_25920,337,880,2,2
DR_43497,467,433,2,2
DR_44375,478,988,2,1
DR_16571,486,968,2,3
DR_72569,544,1909,2,2
DR_17869,1228,4742,3,2
DR_41530,1111,12432,3,2
DR_20062,557,1519,2,3
DR_22875,523,1606,2,2
DR_50209,522,680,2,2
DR_54913,1207,7710,8,3
DR_24903,422,430,2,2
DR_27487,541,1175,2,2
DR_29911,493,1036,2,2
DR_43393,500,1261,2,2
DR_56551,484,1057,2,2
DR_53009,463,1344,2,2
DR_63973,561,1411,2,2
DR_61588,602,1256,2,2
DR_40509,558,1557,2,2
DR_17730,519,1060,2,2
DR_17531,536,1175,2,2
DR_30238,566,2015,2,2
DR_23307,541,1557,2,2
DR_35363,542,1466,2,2
DR_21383,541,1816,2,2
DR_16398,572,1710,2,1
DR_60171,557,1614,2,1
DR_37601,561,2319,2,2
DR_27194,539,1577,2,2
DR_44291,536,1624,2,1
DR_23563,572,1823,2,2
DR_53636,590,1344,2,2
DR_4819,543,2260,2,2
DR_17336,565,1854,2,2
DR_69171,527,1397,2,2
DR_39363,558,1151,2,2
DR_73117,578,1525,2,2
DR_53123,519,1406,2,2
DR_68461,542,1792,2,2
DR_52175,517,1039,2,2
DR_35291,530,1732,2,2
DR_32195,1710,13891,6,2
DR_54826,574,5449,3,2
DR_35185,609,1022,2,2
DR_62363,504,1063,2,2
DR_21810,550,1186,2,2
DR_50150,1005,2079,2,2
DR_58249,531,883,2,2
DR_4513,539,1570,2,2
DR_6092,903,6979,3,1
DR_55569,1640,7974,6,3
DR_71819,1702,16869,6,1
DR_11781,1390,13686,6,2
DR_57204,510,534,2,2
DR_28426,1123,1080,5,1
DR_45313,487,610,2,2
DR_31454,563,2612,2,2
DR_75199,1716,23242,5,1
DR_14670,480,1525,2,1
DR_55038,530,1104,2,1
DR_36168,2050,12088,6,1
DR_18377,1826,10481,5,2
DR_21053,593,1704,2,2
DR_32683,533,1388,2,2
DR_23978,1130,1946,3,3
DR_23776,1670,6756,5,2
DR_12917,520,631,2,2
DR_25535,784,557,3,2
DR_70363,439,826,2,2
DR_52399,579,1363,2,2
DR_44393,1033,19819,4,2
DR_15858,1672,19413,6,2
DR_74880,1558,13951,4,2
DR_6014,898,3749,4,2
DR_43571,1661,15411,6,2
DR_5366,507,1591,2,2
DR_64942,1359,9611,6,3
DR_28616,2061,18731,5,2
DR_35415,1989,19193,5,2
DR_28542,1697,11895,5,2
DR_71254,2047,19023,5,2
DR_63388,2007,20264,5,1
DR_46233,1035,7280,2,3
DR_62163,2022,24813,6,1
DR_68393,1701,25580,6,1
DR_38079,520,1723,2,2
DR_33393,1671,12590,5,2
DR_64298,923,1670,4,2
DR_67760,533,2103,2,3
DR_59315,1668,16783,5,2
DR_55482,653,668,3,2
DR_40081,526,2073,2,3
DR_7284,1614,13503,4,3
DR_5865,595,379,2,2
DR_29649,568,2720,2,2
DR_60915,1683,18216,5,2
DR_39344,1027,15203,3,2
DR_32565,556,2197,2,2
DR_59708,583,2529,2,2
DR_29384,535,2070,2,2
DR_11663,574,2715,2,2
DR_56532,511,1431,2,2
DR_56549,543,2375,2,2
DR_29460,556,2128,2,1
DR_50401,529,2545,2,2
DR_11303,513,1701,2,2
DR_28568,532,2028,2,2
DR_5433,505,2337,2,2
DR_17083,492,2054,2,2
DR_30002,557,1784,2,2
DR_71998,533,1501,2,3
DR_14557,534,2073,2,1
DR_65482,551,1889,2,3
DR_30129,556,1981,2,1
DR_14035,560,1737,2,1
DR_58103,545,1398,2,3
DR_33153,554,1437,2,1
DR_38306,509,1806,2,3
DR_26445,587,1643,2,3
DR_67712,544,915,2,3
DR_61750,548,1930,2,3
DR_73448,552,1480,2,3
DR_40180,546,1322,2,2
DR_61576,542,1618,2,3
DR_56889,573,2021,2,2
DR_69945,527,1474,2,3
DR_24316,1612,19172,6,3
DR_27563,530,1769,2,3
DR_16331,566,1876,2,2
DR_40492,758,2988,2,3
DR_34184,555,1700,2,3
DR_61581,1714,24815,6,3
DR_38207,503,1194,2,3
DR_41181,568,1803,2,3
DR_47453,739,2127,2,2
DR_56877,1407,3060,3,3
DR_19683,1799,17411,5,2
DR_29529,1694,24208,6,2
DR_43920,2025,23741,6,1
DR_35513,2008,30610,6,1
DR_16577,2054,16326,4,2
DR_38668,1392,8791,5,3
DR_31190,599,2004,2,1
DR_39606,1727,13757,5,1
DR_74428,556,2109,2,2
DR_10866,1669,11912,5,2
DR_6255,1695,17762,5,2
DR_73715,1707,26233,6,2
DR_74586,679,2562,2,3
DR_38120,1688,17546,5,2
DR_63369,451,1239,2,3
DR_22404,1048,2875,4,2
DR_45951,935,8103,2,2
DR_46801,577,2575,2,3
DR_18126,767,3785,2,1
DR_69597,574,2854,2,2
DR_65027,847,2337,3,1
DR_70809,542,2181,2,3
DR_50657,1648,14522,5,3
DR_39758,702,2994,2,1
DR_28640,2048,27042,5,1
DR_32504,560,3079,2,2
DR_31236,496,1401,2,2
DR_64368,584,2868,2,2
DR_39750,534,2194,2,2
DR_46236,543,1669,2,2
DR_65923,524,1327,2,2
DR_63009,547,1930,2,2
DR_40416,545,1453,2,1
DR_19177,562,2250,2,2
DR_62820,539,1964,2,2
DR_64514,567,1754,2,2
DR_12754,494,1484,2,2
DR_34734,555,1632,2,2
DR_18123,554,1969,2,2
DR_48047,544,1680,2,2
DR_46441,552,1572,2,2
DR_64267,571,2429,2,2
DR_50995,563,1392,2,3
DR_18589,526,1237,2,1
DR_39425,555,1878,2,2
DR_57168,547,2129,2,2
DR_17616,561,2633,2,2
DR_22653,563,1929,2,3
DR_72955,586,1939,2,3
DR_42465,542,2655,2,3
DR_55914,549,2651,2,3
DR_74418,576,2595,2,3
DR_49106,527,1558,2,3
DR_47844,576,1543,2,3
DR_52634,567,1981,2,3
DR_54089,484,1467,2,2
DR_28804,485,1419,2,2
DR_11279,562,1296,2,2
DR_12668,1235,15441,6,1
DR_28587,548,1873,2,3
DR_49679,516,1641,2,2
DR_18454,1404,9305,5,3
DR_68615,532,1794,2,1
DR_56843,565,2310,2,3
DR_33533,585,1995,2,3
DR_16917,1668,27132,6,1
DR_6121,2070,15112,5,1
DR_37371,1968,25734,6,1
DR_14913,596,1775,2,2
DR_33245,565,2265,2,1
DR_40869,2025,24378,6,1
DR_61376,549,1457,2,1
DR_58286,1671,24683,6,2
DR_67155,575,1582,2,1
DR_72982,573,1628,2,2
DR_61510,536,1693,2,1
DR_31807,1697,21104,5,1
DR_60612,1038,10008,2,1
DR_58762,571,2539,2,3
DR_69198,499,1595,2,1
DR_73844,680,2858,2,1
DR_18581,784,2911,2,2
DR_18651,532,1711,2,2
DR_40980,560,1852,2,2
DR_40467,515,1000,2,2
DR_40224,568,1865,2,3
DR_65289,538,1599,2,1
DR_24003,563,1877,2,1
DR_16015,553,1862,2,2
DR_28436,987,2623,3,2
DR_50123,567,2514,2,2
DR_37297,519,1991,2,2
DR_17866,583,1952,2,2
DR_26059,565,1638,2,1
DR_51933,556,1936,2,2
DR_20468,567,1660,2,2
DR_27254,508,1754,2,2
DR_30645,559,1265,2,2
DR_24392,561,1878,2,2
DR_55694,529,1991,2,2
DR_43379,548,1810,2,2
DR_37744,550,1655,2,2
DR_50080,568,1528,2,2
DR_18850,567,1906,2,2
DR_46298,544,1513,2,1
DR_41807,517,2052,2,1
DR_53058,557,1466,2,2
DR_70145,554,1300,2,2
DR_36307,554,1628,2,3
DR_44456,544,2333,2,2
DR_15164,526,1421,2,2
DR_46463,549,1864,2,2
DR_55154,596,1775,2,3
DR_74664,559,1328,2,1
DR_26484,514,1413,2,3
DR_52177,584,1982,2,1
DR_56013,594,1986,2,1
DR_75157,568,1516,2,3
DR_24893,529,1334,2,2
DR_40574,910,2854,4,2
DR_19018,561,1900,2,1
DR_64809,558,2306,2,2
DR_4122,525,1906,2,2
DR_74303,1264,3234,3,2
DR_49356,608,1887,2,2
DR_41709,543,1429,2,3
DR_16693,533,2365,2,3
DR_65002,560,1971,2,2
DR_27881,528,1208,2,2
DR_49116,453,398,2,2
DR_6227,1023,2600,6,2
DR_6977,901,1497,4,2
DR_56698,534,1694,2,2
DR_51538,510,1672,2,3
DR_24660,498,1250,2,2
DR_71247,2071,14709,5,1
DR_55500,514,1828,2,2
DR_60475,1873,12996,4,1
DR_60343,534,1351,2,2
DR_12599,557,2275,2,2
DR_20121,532,1931,2,2
DR_13606,545,1964,2,3
